,Feature,Unifrom,Metric,Result,Skimage,Image Size,R,L,Step,Histogram,Histogram Tile Size
613,LBP,True,cityblock,0.08,,"(256, 256)",2,16,4,True,16
614,LBP,True,cosine,0.088,,"(256, 256)",2,16,4,True,16
615,LBP,True,euclidean,0.08,,"(256, 256)",2,16,4,True,32
616,LBP,True,cityblock,0.088,,"(256, 256)",2,16,4,True,32
617,LBP,True,cosine,0.056,,"(256, 256)",2,16,4,True,32
618,LBP,True,euclidean,0.048,,"(256, 256)",2,16,4,True,64
619,LBP,True,cityblock,0.072,,"(256, 256)",2,16,4,True,64
620,LBP,True,cosine,0.072,,"(256, 256)",2,16,4,True,64
621,LBP,True,euclidean,0.025,0.01,"(256, 256)",3,32,1,False,
622,LBP,True,cityblock,0.03,0.027,"(256, 256)",3,32,1,False,
623,LBP,True,cosine,0.027,0.012,"(256, 256)",3,32,1,False,
624,LBP,True,euclidean,0.145,0.126,"(256, 256)",3,32,1,True,16
625,LBP,True,cityblock,0.186,0.181,"(256, 256)",3,32,1,True,16
626,LBP,True,cosine,0.173,0.144,"(256, 256)",3,32,1,True,16
627,LBP,True,euclidean,0.118,0.103,"(256, 256)",3,32,1,True,32
628,LBP,True,cityblock,0.153,0.135,"(256, 256)",3,32,1,True,32
629,LBP,True,cosine,0.138,0.104,"(256, 256)",3,32,1,True,32
630,LBP,True,euclidean,0.077,0.072,"(256, 256)",3,32,1,True,64
631,LBP,True,cityblock,0.087,0.092,"(256, 256)",3,32,1,True,64
632,LBP,True,cosine,0.094,0.072,"(256, 256)",3,32,1,True,64
633,LBP,True,euclidean,0.034,,"(256, 256)",3,32,2,False,
634,LBP,True,cityblock,0.03,,"(256, 256)",3,32,2,False,
635,LBP,True,cosine,0.03,,"(256, 256)",3,32,2,False,
636,LBP,True,euclidean,0.126,,"(256, 256)",3,32,2,True,16
637,LBP,True,cityblock,0.142,,"(256, 256)",3,32,2,True,16
638,LBP,True,cosine,0.136,,"(256, 256)",3,32,2,True,16
639,LBP,True,euclidean,0.094,,"(256, 256)",3,32,2,True,32
640,LBP,True,cityblock,0.116,,"(256, 256)",3,32,2,True,32
641,LBP,True,cosine,0.102,,"(256, 256)",3,32,2,True,32
642,LBP,True,euclidean,0.062,,"(256, 256)",3,32,2,True,64
643,LBP,True,cityblock,0.076,,"(256, 256)",3,32,2,True,64
644,LBP,True,cosine,0.07,,"(256, 256)",3,32,2,True,64
645,LBP,True,euclidean,0.096,,"(256, 256)",3,32,4,False,
646,LBP,True,cityblock,0.104,,"(256, 256)",3,32,4,False,
647,LBP,True,cosine,0.08,,"(256, 256)",3,32,4,False,
648,LBP,True,euclidean,0.088,,"(256, 256)",3,32,4,True,16
649,LBP,True,cityblock,0.112,,"(256, 256)",3,32,4,True,16
650,LBP,True,cosine,0.112,,"(256, 256)",3,32,4,True,16
651,LBP,True,euclidean,0.064,,"(256, 256)",3,32,4,True,32
652,LBP,True,cityblock,0.064,,"(256, 256)",3,32,4,True,32
653,LBP,True,cosine,0.072,,"(256, 256)",3,32,4,True,32
654,LBP,True,euclidean,0.08,,"(256, 256)",3,32,4,True,64
655,LBP,True,cityblock,0.088,,"(256, 256)",3,32,4,True,64
656,LBP,True,cosine,0.08,,"(256, 256)",3,32,4,True,64
